File_Name,Internal_Sample_Name,type,r2r_event,Cruise,Depth (m),Amount Filtered (L),Niskin Bottle,Dmix Concentration,Lat,Lon,Cast
QE014836.mzXML,JC214_132,CTD,jc214-SE-20210522.1414.001,JC214,500,1,1,10x,48.935,-14.7378,46
QE014837.mzXML,JC214_109,CTD,jc214-SE-20210519.1403.001,JC214,500,1,1,10x,48.978,-14.8217,41
QE014838.mzXML,JC214_97,CTD,jc214-SE-20210518.1403.001,JC214,500,1,1,10x,48.9503,-14.8528,36
QE014839.mzXML,JC214_73,CTD,jc214-SE-20210516.1356.001,JC214,500,1,1,10x,48.9712,-14.728,31
QE014840.mzXML,EXPORTS2_PQC_65,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014841.mzXML,JC214_168,CTD,jc214-SE-20210526.1714.001,JC214,500,1,2,10x,48.74,-14.8723,56
QE014842.mzXML,JC214_180,CTD,jc214-SE-20210527.1310.001,JC214,500,1,1,10x,48.7835,-14.9123,57
QE014843.mzXML,JC214_192,CTD,jc214-SE-20210529.1317.001,JC214,500,1,1,10x,48.8215,-14.8387,67
QE014844.mzXML,SG2105_58,CTD,20210518.1819.001,SG2105,500,2,10,10x,48.9518,-14.806,12
QE014845.mzXML,SG2105_11,CTD,20210507.0144.001,SG2105,750,2,6,10x,48.965,-14.9412,4
QE014846.mzXML,EXPORTS2_PQC_66,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014847.mzXML,SG2105_60,CTD,20210518.1819.001,SG2105,2000,2,1,10x,48.9518,-14.806,12
QE014848.mzXML,SG2105_69,CTD,20210519.0301.001,SG2105,500,1,2,10x,49.0743,-14.9973,13
QE014849.mzXML,JC214_139,CTD,jc214-SE-20210522.1414.001,JC214,55,1,16,1x,48.935,-14.7378,46
QE014850.mzXML,JC214_136,CTD,jc214-SE-20210522.1414.001,JC214,125,1,9,1x,48.935,-14.7378,46
QE014851.mzXML,JC214_134,CTD,jc214-SE-20210522.1414.001,JC214,175,1,5,1x,48.935,-14.7378,46
QE014852.mzXML,EXPORTS2_PQC_67,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014853.mzXML,JC214_151,CTD,jc214-SE-20210524.1626.001,JC214,75,1,14,1x,48.9065,-14.7887,50
QE014854.mzXML,JC214_142,CTD,jc214-SE-20210522.1414.001,JC214,20,1,21,1x,48.935,-14.7378,46
QE014855.mzXML,JC214_133,CTD,jc214-SE-20210522.1414.001,JC214,330,1,2,1x,48.935,-14.7378,46
QE014856.mzXML,JC214_138,CTD,jc214-SE-20210522.1414.001,JC214,75,1,14,1x,48.935,-14.7378,46
QE014857.mzXML,JC214_137,CTD,jc214-SE-20210522.1414.001,JC214,95,1,12,1x,48.935,-14.7378,46
QE014858.mzXML,EXPORTS2_PQC_68,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014859.mzXML,JC214_141,CTD,jc214-SE-20210522.1414.001,JC214,35,1,19,1x,48.935,-14.7378,46
QE014860.mzXML,JC214_152,CTD,jc214-SE-20210524.1626.001,JC214,55,1,16,1x,48.9065,-14.7887,50
